Arrival Time,Event,Time,Details
46000.99265432593,Check-in,46552.36398213062,C. service time:551.3713278046931
46000.99265432593,Security Screening,46552.36398213062,Screening completed in 21.256438622165856 seconds
46000.99265432593,Boarding,46573.620420752784,Boarded regional flight successfully
46076.199912505384,Check-in,47265.39059907993,C. service time:713.0266169493144
46076.199912505384,Security Screening,47265.39059907993,Screening completed in 273.9410000994415 seconds
46076.199912505384,Boarding,47539.33159917937,Boarded regional flight successfully
46106.66217531645,Check-in,47643.474594412415,C. service time:378.0839953324851
46106.66217531645,Security Screening,47643.474594412415,Screening completed in 147.3308204246063 seconds
46106.66217531645,Boarding,47790.80541483702,Boarded regional flight successfully
46296.12698235298,Check-in,48355.45259894575,C. service time:711.9780045333347
46296.12698235298,Security Screening,48355.45259894575,Screening completed in 1.55648960825388 seconds
46296.12698235298,Boarding,48357.009088554,Boarded regional flight successfully
46319.78519768345,Check-in,48751.8091732066,C. service time:396.356574260858
46319.78519768345,Security Screening,48751.8091732066,Screening completed in 44.50845420723916 seconds
46319.78519768345,Boarding,48796.31762741384,Boarded regional flight successfully
46342.458932053356,Check-in,49565.71428500418,C. service time:813.9051117975769
46342.458932053356,Security Screening,49565.71428500418,Screening completed in 304.40124071347236 seconds
46342.458932053356,Boarding,49870.11552571765,Boarded regional flight successfully
51156.79018845968,Arrival,51156.79018845968,Passenger arrived
51156.79018845968,Process Start,51156.79018845968,Starting process for passenger
51359.71022574257,Arrival,51359.71022574257,Passenger arrived
51359.71022574257,Process Start,51359.71022574257,Starting process for passenger
51420.927953016755,Arrival,51420.927953016755,Passenger arrived
51420.927953016755,Process Start,51420.927953016755,Starting process for passenger
51440.92302384261,Arrival,51440.92302384261,Passenger arrived
51440.92302384261,Process Start,51440.92302384261,Starting process for passenger
51156.79018845968,Check-in,51730.4037925793,C. service time:573.6136041196212
51156.79018845968,Security Screening,51730.4037925793,Screening completed in 47.51024857012842 seconds
51156.79018845968,Boarding,51777.91404114943,Boarded flight successfully
51359.71022574257,Check-in,52255.697490763145,C. service time:525.2936981838446
51359.71022574257,Security Screening,52255.697490763145,Screening completed in 77.23210255557916 seconds
51359.71022574257,Boarding,52332.929593318724,Boarded regional flight successfully
51420.927953016755,Check-in,52524.66523819254,C. service time:268.96774742939164
51420.927953016755,Security Screening,52524.66523819254,Screening completed in 78.41913357701499 seconds
51420.927953016755,Boarding,52603.08437176955,Boarded regional flight successfully
51440.92302384261,Check-in,52627.79757134507,C. service time:103.13233315253369
51440.92302384261,Security Screening,52627.79757134507,Screening completed in 12.33181856225279 seconds
51440.92302384261,Boarding,52640.12938990733,Boarded regional flight successfully
56355.50779223676,Arrival,56355.50779223676,Passenger arrived
56355.50779223676,Process Start,56355.50779223676,Starting process for passenger
56355.50779223676,Check-in,56412.21171420859,C. service time:56.703921971827576
56355.50779223676,Security Screening,56412.21171420859,Screening completed in 854.8507519438406 seconds
56355.50779223676,Boarding,57267.062466152434,Boarded flight successfully
60557.046135567936,Arrival,60557.046135567936,Passenger arrived
60557.046135567936,Process Start,60557.046135567936,Starting process for passenger
60557.046135567936,Check-in,60944.61817367606,B. service time:387.57203810812814
60557.046135567936,Security Screening,60944.61817367606,Screening completed in 401.6598370362951 seconds
60557.046135567936,Boarding,61346.278010712354,Boarded flight successfully
65322.308106410535,Arrival,65322.308106410535,Passenger arrived
65322.308106410535,Process Start,65322.308106410535,Starting process for passenger
65322.308106410535,Check-in,65450.4378444483,B. service time:128.12973803776575
65322.308106410535,Security Screening,65450.4378444483,Screening completed in 103.11219182955926 seconds
65322.308106410535,Boarding,65553.55003627785,Boarded flight successfully
69650.88226201502,Arrival,69650.88226201502,Passenger arrived
69650.88226201502,Process Start,69650.88226201502,Starting process for passenger
69650.88226201502,Check-in,69910.42655307963,C. service time:259.5442910646116
69650.88226201502,Security Screening,69910.42655307963,Screening completed in 19.764725591235216 seconds
69650.88226201502,Boarding,69930.19127867086,Boarded flight successfully
74336.4341284631,Arrival,74336.4341284631,Passenger arrived
74336.4341284631,Process Start,74336.4341284631,Starting process for passenger
74336.4341284631,Check-in,74475.57435722482,C. service time:139.14022876172731
74487.22048322822,Arrival,74487.22048322822,Passenger arrived
74487.22048322822,Process Start,74487.22048322822,Starting process for passenger
74610.12492676113,Arrival,74610.12492676113,Passenger arrived
74610.12492676113,Process Start,74610.12492676113,Starting process for passenger
74336.4341284631,Security Screening,74475.57435722482,Screening completed in 202.78560549346213 seconds
74336.4341284631,Boarding,74678.35996271828,Boarded flight successfully
74487.22048322822,Check-in,74881.54194419662,C. service time:394.3214609684136
74487.22048322822,Security Screening,74881.54194419662,Screening completed in 425.01976659488724 seconds
74487.22048322822,Boarding,75306.56171079152,Boarded regional flight successfully
74610.12492676113,Check-in,75752.26908289597,C. service time:870.7271386993551
74610.12492676113,Security Screening,75752.26908289597,Screening completed in 97.54302591238286 seconds
74610.12492676113,Boarding,75849.81210880836,Boarded regional flight successfully
79642.8823282091,Arrival,79642.8823282091,Passenger arrived
79642.8823282091,Process Start,79642.8823282091,Starting process for passenger
79642.8823282091,Check-in,80117.85183455455,C. service time:474.96950634544373
79642.8823282091,Security Screening,80117.85183455455,Screening completed in 67.53286495097791 seconds
79642.8823282091,Boarding,80185.38469950552,Boarded flight successfully
83803.7609312866,Arrival,83803.7609312866,Passenger arrived
83803.7609312866,Process Start,83803.7609312866,Starting process for passenger
83803.7609312866,Check-in,83949.44115472096,C. service time:145.68022343436778
83803.7609312866,Security Screening,83949.44115472096,Screening completed in 629.5235034264347 seconds
83803.7609312866,Boarding,84578.9646581474,Boarded flight successfully
